timestamp,session_id,image_id,image_source,ground_truth_label,predicted_label,confidence_score,capture_time_ms,api_latency_ms,total_latency_ms,client_api_latency_ms,client_total_latency_ms,inference_time_ms,api_status,error_message,user_action,detection_type,browser,os,network_type,capture_start,capture_end,backend_receive,api_request_start,api_response_end,notification_sent,device_model,user_agent
2025-11-13T02:18:05.613204Z,sess-1,img-1,,,,,,,,unknown,,,,,,,,,,,,,
2025-11-13T02:51:29.560Z,sess-azybw83thyf-mhwu1kt7,img-aadd8165c0b7fa3c,dataurl,,REAL,0.99,,3877.000093460083,3960.0000381469727,success,,facebook,Edge,Windows,unknown,1763002285.598,,,1763002285.681,1763002289.558,1763002289.558,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"
2025-11-13T02:52:26.450Z,sess-azybw83thyf-mhwu1kt7,img-95f5a1ad41e45f32,dataurl,,REAL,0.99,,2772.9997634887695,2827.9998302459717,success,,facebook,Edge,Windows,unknown,1763002343.621,,,1763002343.676,1763002346.449,1763002346.449,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"
2025-11-13T03:04:28.695Z,sess-azybw83thyf-mhwu1kt7,img-c687f4bcc4593b85,https://th.bing.com/th/id/OIP.M_uHkB6jQb94uyhueGHjuAHaE8?w=301&h=180&c=7&r=0&o=7&cb=ucfimgc2&dpr=1.3&pid=1.7&rm=3,,FAKE,0.83,,2611.999988555908,2688.999891281128,success,,classifyUrl,Edge,Windows,unknown,1763003066.005,,,1763003066.082,1763003068.694,1763003068.694,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"
2025-11-13T03:26:09.636Z,sess-azybw83thyf-mhwu1kt7,img-c687f4bcc4593b85,https://th.bing.com/th/id/OIP.M_uHkB6jQb94uyhueGHjuAHaE8?w=301&h=180&c=7&r=0&o=7&cb=ucfimgc2&dpr=1.3&pid=1.7&rm=3,,FAKE,0.83,,1268.0001258850098,1285.0000858306885,success,,On-click detect,Edge,Windows,unknown,1763004368.349,,,1763004368.366,1763004369.634,1763004369.634,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"
2025-11-13T03:26:59.894Z,sess-azybw83thyf-mhwu1kt7,img-30571adc645bf43a,dataurl,,REAL,0.63,,1889.9998664855957,1914.9999618530273,success,,On-click detect,Edge,Windows,unknown,1763004417.978,,,1763004418.002,1763004419.892,1763004419.893,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"
2025-11-13T03:27:43.138Z,sess-azybw83thyf-mhwu1kt7,img-92eec71cf2defaa6,https://scontent.fcgy3-2.fna.fbcdn.net/v/t39.30808-6/581123034_851049707451927_2615595225526339869_n.jpg?stp=dst-jpg_s590x590_tt6&_nc_cat=110&ccb=1-7&_nc_sid=833d8c&_nc_eui2=AeHk_wvMOu2FTQFbM5JnaPdz0LKVdCZwXuXQspV0JnBe5YuA1rh7bpCMTotenf0aiH0Frse-HV7mG85xRoZ-aWld&_nc_ohc=C_FEghxK8BYQ7kNvwFgvSW6&_nc_oc=AdkJ1JH9_sH970vAmrgjCzujGCgZVokc03RWyehZAWjzxOE2MXLU3H5TlkVEnfUtGPU&_nc_zt=23&_nc_ht=scontent.fcgy3-2.fna&_nc_gid=5p_bKynhS-k7a3TEB_QNTQ&oh=00_AfiftOeyDUwh0cOvu3-D_l-BRStC0Pxf2yNfgPTwl9A3hA&oe=691B071B,,REAL,0.99,,1548.0000972747803,1588.9999866485596,success,,On-click detect,Edge,Windows,unknown,1763004461.548,,,1763004461.589,1763004463.137,1763004463.137,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"
2025-11-13T03:27:44.503Z,sess-azybw83thyf-mhwu1kt7,img-92eec71cf2defaa6,https://scontent.fcgy3-2.fna.fbcdn.net/v/t39.30808-6/581123034_851049707451927_2615595225526339869_n.jpg?stp=dst-jpg_s590x590_tt6&_nc_cat=110&ccb=1-7&_nc_sid=833d8c&_nc_eui2=AeHk_wvMOu2FTQFbM5JnaPdz0LKVdCZwXuXQspV0JnBe5YuA1rh7bpCMTotenf0aiH0Frse-HV7mG85xRoZ-aWld&_nc_ohc=C_FEghxK8BYQ7kNvwFgvSW6&_nc_oc=AdkJ1JH9_sH970vAmrgjCzujGCgZVokc03RWyehZAWjzxOE2MXLU3H5TlkVEnfUtGPU&_nc_zt=23&_nc_ht=scontent.fcgy3-2.fna&_nc_gid=5p_bKynhS-k7a3TEB_QNTQ&oh=00_AfiftOeyDUwh0cOvu3-D_l-BRStC0Pxf2yNfgPTwl9A3hA&oe=691B071B,,REAL,0.99,,2912.0001792907715,2952.000141143799,success,,On-click detect,Edge,Windows,unknown,1763004461.55,,,1763004461.59,1763004464.502,1763004464.502,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"
2025-11-13T03:28:19.340Z,sess-azybw83thyf-mhwu1kt7,img-e895aed16b24db74,https://scontent.fcgy3-2.fna.fbcdn.net/v/t39.30808-6/581123034_851049707451927_2615595225526339869_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=833d8c&_nc_eui2=AeHk_wvMOu2FTQFbM5JnaPdz0LKVdCZwXuXQspV0JnBe5YuA1rh7bpCMTotenf0aiH0Frse-HV7mG85xRoZ-aWld&_nc_ohc=C_FEghxK8BYQ7kNvwFgvSW6&_nc_oc=AdkJ1JH9_sH970vAmrgjCzujGCgZVokc03RWyehZAWjzxOE2MXLU3H5TlkVEnfUtGPU&_nc_zt=23&_nc_ht=scontent.fcgy3-2.fna&_nc_gid=DrvXIpePrf9czzT-ubQ-9w&oh=00_AfjqMDA_XJj5ZnEMKY-4AuBAPIoO8m8GzzXoKJMqpBWzcA&oe=691B071B,,REAL,0.98,,2036.0000133514404,2088.9999866485596,success,,On-click detect,Edge,Windows,unknown,1763004497.251,,,1763004497.304,1763004499.34,1763004499.34,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"
2025-11-13T03:28:20.809Z,sess-azybw83thyf-mhwu1kt7,img-e895aed16b24db74,https://scontent.fcgy3-2.fna.fbcdn.net/v/t39.30808-6/581123034_851049707451927_2615595225526339869_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=833d8c&_nc_eui2=AeHk_wvMOu2FTQFbM5JnaPdz0LKVdCZwXuXQspV0JnBe5YuA1rh7bpCMTotenf0aiH0Frse-HV7mG85xRoZ-aWld&_nc_ohc=C_FEghxK8BYQ7kNvwFgvSW6&_nc_oc=AdkJ1JH9_sH970vAmrgjCzujGCgZVokc03RWyehZAWjzxOE2MXLU3H5TlkVEnfUtGPU&_nc_zt=23&_nc_ht=scontent.fcgy3-2.fna&_nc_gid=DrvXIpePrf9czzT-ubQ-9w&oh=00_AfjqMDA_XJj5ZnEMKY-4AuBAPIoO8m8GzzXoKJMqpBWzcA&oe=691B071B,,REAL,0.98,,3503.999948501587,3556.999921798706,success,,On-click detect,Edge,Windows,unknown,1763004497.252,,,1763004497.305,1763004500.809,1763004500.809,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"
2025-11-13T03:28:55.228Z,sess-azybw83thyf-mhwu1kt7,img-95f5a1ad41e45f32,dataurl,,REAL,0.99,,2674.000024795532,2711.9998931884766,success,,On-click detect,Edge,Windows,unknown,1763004532.516,,,1763004532.553,1763004535.227,1763004535.228,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"
